score,review,y
5,넘 맛있어요,1
1,"예약할 때는 룸을 주기로 하고 홀을 주고, 덥고, 직원들이 정신이 없어 그 가격에 내가 직접 구워먹고 갈비살, 등심은 질기고 냉면은 맛이 없고 장어 양념들도 제 때 안 가져다 주고 회식으로 한시간만에 120만원을 썼는데 이런 경험 처음입니다.",0
5,점심식사 잘했던곳.후식커피한잔 하기도 좋고 주차가능합니다. 음식 맛있고 직원분 친절하여 절로 미소가 지어졌어요. ,1
5,新鮮でおいしいです。,1
4,녹는다 녹아,1
4,,1
5,흠잡을곳 없는 반찬이 정갈합니다 ,1
5,코로나 땜에 걱정했는데 방역수칙도 잘 지키시고 살치실이랑 등심 부드러워서 너무 좋아서 댓글 남깁니다~,1
5,살치살 미쳤네요.. 대박입니다 퀄리티 굳이에요~,1
5,최고,1
5,"외식하기에 딱 좋습니다 격 자체가 다른 음식의 품격, 서비스마인드 뭐하나 흠잡을곳이 없는 정말 멋진 식당이네요~ 자주이용하겠습니다",1
5,한우살이 아주그냥 입에서 녹아요 한번왔는데 또오고싶은맛입니다.,1
5,,1
5,요즘 날도 더운데 헌혈도해서 소고기가 생각났는데 소고기하면 블로그에서 핫한  남도애찬이 떠오르더라구요!기대하고 남도애찬방문했는데 역시 기대한만큼 고기 질은물론 사장님이 친절하셔서 뿌듯한하루가 됐네요,1
5,갈비먹고싶을땐 무조건 여기와서먹어요 ㅎㅎ b,1
5,"강남 회식장소로 제격! 깔끔한 내부 깔끔한 고기, 냉면 일품이네요 가장좋은건 회식할 때 누구는 고기굽느라 정신없는데 고기도 구워주셔서 좋았습니다.",1
5,가족끼리 외식하기에 참 괜찮은 집이라고 생각해요~! 음식도 깔끔하게 잘나오구요~!,1
5,갈비 완전 맛있음!!!!! ,1
5,예전에는 회식장소로 진짜 자주 갔었는데 요즘은 회식보단 두세명이 가서 먹는데 삼합세트 먹는편이고 회식때는 한우세트 먹었었는데 일단 고기질이 너무 좋아요 한우는 말한것도 없고 삼합도 전복하고 키조개관자는 진짜 부드럽고 맛나요!!,1
5,백억 전복 삼합 먹고 갑니다~ 괜찮네요~ 다음엔 가족들이랑 와야겠어요~,1
1,사장  드럽게 불친절 주차 물어보니 퉁명스럽게 알아서 대고 오세요 ~~기가 막힘  소주 가격 6500원이고 소주값은 모르고  갔는데  계산서 보고  깜짝 놀람  왜 소주를 6500원 받지?,0
1,하누세트 20만원짜리 먹었는데 양도 적고 무엇보다 등심도 질기고 양념갈비도 짜고 고기맛이 없어 정말정말 가성비 떨어지는 식당이었습니다. 음식점에서 이렇게 돈이 아까울줄은..처음갔는데 평점에 속은집. ,0
2,"서비스가 매우 안좋습니다. 소고기 구울때는 구워주고, 삼겹살 먹으면 알아서하라고 합니다.ㅋㅋ 말을 해도 당연하다는듯이.. ?  돼지고기만 먹었으면 모르지만 함께 먹어도 이런 말을 한다는게 어이가...",0
3,황제세트랑 삼합먹었는데.. 고기 구어주는데 숯이 약해 흐물흐물했음 삼합은 맛있어요,0
5,급하게 갔는데도 잘 해주시고  고기도 너무 맛나요  맛있게 구워주시고  잘 먹다가 좋은 시간보내고 갑니다 ㅎㅎ,1
5,"부모님 모시고 갔는데 좋은 시간 만들어주셔서 감사합니다 :) 조용한 자리에 미리 세팅도 완료해서 준비해주셨고 고기도 처음부터 끝까지 맛있게 구워주셨어요! 메뉴 고를줄 몰라서 이것저것 여쭤봤는데 양이랑 가격 적당한걸로 고르도록 도와주시고 음식이 빨리빨리 나와서 좋았어요. 셀프바도 맛있게, 많이 이용 잘 했습니다 ㅎㅎㅎ, 냄새도 안 배고 좋더라고요 리뷰 보고 ...",1
2,내 입맛이 고급인가 양식 특유의 비린내가 코를 맴 돌아서 아쉬움,0
1," 차돌 삼합을 주문해서 먹었는데 구워주시고 이제 먹으면 된다고 안내해주시고 나가셨습니다.  먹다가 고기 양이 좀 적네라고 생각하며 등심을 추가 주문하였습니다. (등심은 화로가 달라서 기존에 차돌삼합을 구웠던 가스 버너와 불판은 가져가심)  다 먹고 식당을 나가기 전에 화장실을 가려는데 테이블 뒤 안보이는 공간에 차돌이 한참 남아있는 접시가 놓여있어서,  직...",0
3,불러도 안 오시고 고기도 그냥 쏘쏘... 된장찌개는 ㅎㅎ;; 평이 좋은데라 의외였어여,0
3,진짜 친절하시고 좋은데  가격대비 맛은 창고43이나 경천애인 가는게 더 좋을듯요,0
4,직원들이 친절하고 평일 낮에 갔는데 정원에서 한끼 식사하는 기분이였다 고기도 일일이 구워주고 먹기 편했다 ,1
5,,1
5,분위기 좋아요. 직원들 친절해요. 삼합 맛은 최고예요.ㅎ~^^,1
5,가족들이랑 오랫만에 맛있는 음식 먹었네요 다음에 또 방문할 의향 있어요 ^^,1
5,정말 맛있고 깔끔해요,1
5,최고에요,1
5,싱싱한 완도산 활전복의 꿈틀거림에 깜짝 놀라실 거에요 ,1
5,강남에서 보기 힘든 예쁜 정원과 맛난 음식과 크고 작은 프라이빗룸까지 있어서 더 좋아요,1
4,,1
5,"아 글쎄, 사장님 말씀이 자랑할 것이라고는 ""투뿔""밖에 없다네요.  맛있고 서비스 좋고 웃음까지 선사해 주는 #백억하누 강추입니다. ",1
5,부모님이랑 왔는데 야간 정원도 너무 이쁘고 부모님도 만족하셨어요^^ 맛도 일품이라서 회식하기에 딱! 좋은곳 같습니다.,1
5,강남에 정원이 있는 식당이 있어 놀라웠고 맛도 일품입니다 룸이있어서 회식하기에도 정말 좋았어요 정말 적극추천합니다,1
5,,1
5,양갈비는 앞으로 여기다,1
5,맛있네요~ 음식도 깔끔하니 추천입니다~!!,1
4,,1
5,진짜 강남에서 맛집 찾기가 이렇게 힘들었나 맛있게 먹었어요,1
5,양비린내 정말 하나도 안나요. 양등심 양갈비 둘다 먹었는데 개인적으로는 갈비가 조금더 고기향 나면서 맛있는거 같아요. 서비스로 육개장과 계란찜도 나와서 둘이서 충분히 먹었네요. 사장님이 친절하게 직접 구워주시고 편하게 아주 잘 먹었습니다.,1
5,고기 퀄리티 미쳤어요~! 너무 맛있어요 ㅎㅎ,1
5,양고기 맛있게 드시고싶으면 여기 추천합니다,1
5,,1
2,맛이 변했어요 양도 너무 적어지고 곱창도 적어져서 돈 아까움ㅠ,0
4,맛있어요! 쌀국수도 분짜도 환상! 근데 매장 자체는 좀 많이 어수선하고 테이블 거리가 가까워요ㅠ_ㅠ 그게 조금 아쉬웠지만 음식 자체는 굳~_~,1
3,알바생도 물티슈 가져다 달라니까 서로 장난치면서 미루고 두번 얘기하게하고 곱창 쌀국수도 갤러리아점이 훨씬 맛납니다 ,0
3,맛있는데 2번은 안갈래.... 너무 혼잡하고 정신 없우.....,0
4,맛있음,1
5,ㄴ,1
4, ,1
3,서버분들은 친절하세요 비주얼은 참 예쁜데 맛 자체는 유명한거에 비해 대단한 맛이 아니어서 좀 실망.. 특히 소곱창 쌀국수는 진짜 그냥 평범한 매운 쌀국수라서 절대 기다려서 먹을 맛 아님,0
5,강남에서 제일 친절하고 응대에 능숙한 매장  혼자 가도 무례하거나 대충하지 않음  ,1
1,맛은 괜찮은데 직원분들이 너무 불친절해요. 아랫사람 대하는 듯한 느낌이네요. 다시 가지는 않을 것 같네요.,0
3,"맛은 괜찮았지만 특색은 찾지 못했다.  곱창은 냄새 민감한 분들에게는 비추.  돼지갈비는 기대했던 쫄깃한 식감이 아닌 오래 익혀서 퍽퍽했고, 양념은 액젓이 들어갔는지 좀 색다른 맛이었음. ",0
5,,1
